"Year","Month","SOI"
1985,"Nov",-1.0522289713156
1985,"Dec",2.06335524843953
1986,"Jan",8.22875937724285
1986,"Feb",-11.1963738979073
1986,"Mar",0.706966340102931
1986,"Apr",0.682304723587589
1986,"May",-4.13493103571792
1986,"Jun",6.53532837653194
1986,"Jul",1.68521046187332
1986,"Aug",-5.82014149759071
1986,"Sep",-4.2171364241017
1986,"Oct",4.8830000700124
1986,"Nov",-10.4236432470971
1986,"Dec",-13.2268469909938
1987,"Jan",-6.56821053188553
1987,"Feb",-13.1693032191249
1987,"Mar",-15.0764682296348
1987,"Apr",-14.6078975158458
1987,"May",-13.5063453114995
1987,"Jun",-12.2075001750317
1987,"Jul",-14.0982241078644
1987,"Aug",-10.7524648006337
1987,"Sep",-9.14945972714468
1987,"Oct",-4.48841420576915
1987,"Nov",-1.0522289713156
1987,"Dec",-4.34866504551612
1988,"Jan",-1.14265489853814
1988,"Feb",-5.27758593425603
1988,"Mar",2.18666333101616
1988,"Apr",-0.797392267325641
1988,"May",6.22294790067301
1988,"Jun",-2.3428535689452
1988,"Jul",8.59046308613337
1988,"Aug",11.4429900630597
1988,"Sep",16.4986214486785
1988,"Oct",11.7882526942725
1988,"Nov",15.7176702590304
1988,"Dec",10.4483048636128
1989,"Jan",13.6543150105908
1989,"Feb",9.51938397487291
1989,"Mar",6.13252197345032
1989,"Apr",12.5198806508906
1989,"May",9.18234188249835
1989,"Jun",4.56239905531486
1989,"Jul",7.11076609522014
1989,"Aug",-4.83367683698189
1989,"Sep",4.66104552137543
1989,"Oct",5.86946473062122
1989,"Nov",-1.54546130162057
1989,"Dec",-4.84189737582053
1990,"Jan",-1.14265489853814
1990,"Feb",-18.1016265221679
1990,"Mar",-7.6779832750698
1990,"Apr",-0.304159937021231
1990,"May",8.19587722189009
1990,"Jun",0.6165404128807
1990,"Jul",4.15137211339481
1990,"Aug",-3.84721217637363
1990,"Sep",-6.19006574531878
1990,"Oct",1.43037375788265
1990,"Nov",-4.0116229531415
1990,"Dec",-2.37573572429904
1991,"Jan",5.26936539541751
1991,"Feb",0.641202029395771
1991,"Mar",-9.65091259628744
1991,"Apr",-7.70264489158514
1991,"May",-12.0266483205868
1991,"Jun",-3.32931822955402
1991,"Jul",-1.27418351995258
1991,"Aug",-5.82014149759071
1991,"Sep",-13.5885506998833
1991,"Oct",-10.4072021694209
1991,"Nov",-5.49131994405473
1991,"Dec",-16.1862409728192
1992,"Jan",-26.2975037440574
1992,"Feb",-9.71667690699516
1992,"Mar",-21.9817208538949
1992,"Apr",-11.1552712037154
1992,"May",0.304159937020651
1992,"Jun",-7.76840920229259
1992,"Jul",-5.2200421623873
1992,"Aug",1.08511112666991
1992,"Sep",0.715186878941274
1992,"Oct",-13.8598284815513
1992,"Nov",-5.49131994405473
1992,"Dec",-5.33512970612438
